Date,Event,opponent,Map,Score,Result,Point Difference,Round1 Result,>3.5,<3.5,>-3.5,<-3.5,Total Win/Loss,
20/05/20,DreamHack Masters Spring 2020 - Europe,North,Vertigo,'16 - 4,W,12,Astralis,33,26,51,11,45,W
19/05/20,DreamHack Masters Spring 2020 - Europe,Heroic,Inferno,'16 - 14,W,2,Heroic,W,L,W,L,17,L
19/05/20,DreamHack Masters Spring 2020 - Europe,Heroic,Train,'19 - 16,W,3,Astralis,,,,,,
17/05/20,ESL One: Road to Rio - Europe,G2,Vertigo,'16 - 2,W,14,Astralis,,,,,,
17/05/20,ESL One: Road to Rio - Europe,G2,Nuke,'16 - 6,W,10,Astralis,,,,,,
15/05/20,ESL One: Road to Rio - Europe,FaZe,Inferno,'16 - 7,W,9,Astralis,,,,,,
15/05/20,ESL One: Road to Rio - Europe,FaZe,Dust2,'16 - 12,W,4,FaZe,,,,,,
13/05/20,ESL One: Road to Rio - Europe,G2,Overpass,'16 - 7,W,9,G2,,,,,,
13/05/20,ESL One: Road to Rio - Europe,G2,Vertigo,'16 - 13,W,3,G2,,,,,,
9/5/2020,ESL One: Road to Rio - Europe,ENCE,Inferno,'16 - 11,W,5,ENCE,,,,,,
9/5/2020,ESL One: Road to Rio - Europe,ENCE,Nuke,'12 - 16,L,-4,ENCE,,,,,,
9/5/2020,ESL One: Road to Rio - Europe,ENCE,Train,'19 - 17,W,2,ENCE,,,,,,
5/5/2020,ESL One: Road to Rio - Europe,Dignitas,Dust2,'16 - 5,W,11,Dignitas,,,,,,
5/5/2020,ESL One: Road to Rio - Europe,Dignitas,Train,'19 - 17,W,2,Astralis,,,,,,
2/5/2020,ESL One: Road to Rio - Europe,Heretics,Inferno,'16 - 12,W,4,Heretics,,,,,,
2/5/2020,ESL One: Road to Rio - Europe,Heretics,Dust2,'16 - 10,W,6,Astralis,,,,,,
30/04/20,ESL One: Road to Rio - Europe,NiP,Inferno,'16 - 11,W,5,Astralis,,,,,,
30/04/20,ESL One: Road to Rio - Europe,NiP,Nuke,'16 - 12,W,4,Astralis,,,,,,
