Date,Event,opponent,Map,Score,Result,Point Difference,Round1 Result,>3.5,<3.5,>-3.5,<-3.5,Total Win/Loss,
12/5/2020,ESL One: Road to Rio - Europe,Movistar Riders,Inferno,'2 - 16,L,-14,Movistar Riders,23,44,51,21,41,W
12/5/2020,ESL One: Road to Rio - Europe,Movistar Riders,Train,'20 - 22,L,-2,fnatic,W,L,W,L,31,L
9/5/2020,ESL One: Road to Rio - Europe,NiP,Inferno,'12 - 16,L,-4,fnatic,,,,,,
9/5/2020,ESL One: Road to Rio - Europe,NiP,Mirage,'10 - 16,L,-6,NiP,,,,,,
9/5/2020,ESL One: Road to Rio - Europe,NiP,Overpass,'16 - 9,W,7,NiP,,,,,,
6/5/2020,ESL One: Road to Rio - Europe,Complexity,Inferno,'19 - 16,W,3,Complexity,,,,,,
6/5/2020,ESL One: Road to Rio - Europe,Complexity,Nuke,'16 - 14,W,2,fnatic,,,,,,
2/5/2020,ESL One: Road to Rio - Europe,Vitality,Mirage,'11 - 16,L,-5,Vitality,,,,,,
2/5/2020,ESL One: Road to Rio - Europe,Vitality,Inferno,'22 - 20,W,2,fnatic,,,,,,
2/5/2020,ESL One: Road to Rio - Europe,Vitality,Dust2,'13 - 16,L,-3,fnatic,,,,,,
29/04/20,ESL One: Road to Rio - Europe,Heretics,Overpass,'16 - 8,W,8,fnatic,,,,,,
29/04/20,ESL One: Road to Rio - Europe,Heretics,Inferno,'16 - 14,W,2,Heretics,,,,,,
29/04/20,ESL One: Road to Rio - Europe,Heretics,Nuke,'14 - 16,L,-2,Heretics,,,,,,
28/04/20,ESL One: Road to Rio - Europe,Dignitas,Dust2,'14 - 16,L,-2,fnatic,,,,,,
28/04/20,ESL One: Road to Rio - Europe,Dignitas,Overpass,'22 - 25,L,-3,Dignitas,,,,,,
28/04/20,ESL One: Road to Rio - Europe,Dignitas,Train,'19 - 17,W,2,fnatic,,,,,,
25/04/20,ESL One: Road to Rio - Europe,Astralis,Overpass,'16 - 12,W,4,Astralis,,,,,,
25/04/20,ESL One: Road to Rio - Europe,Astralis,Inferno,'16 - 19,L,-3,fnatic,,,,,,
25/04/20,ESL One: Road to Rio - Europe,Astralis,Train,'16 - 9,W,7,Astralis,,,,,,
22/04/20,ESL One: Road to Rio - Europe,ENCE,Mirage,'13 - 16,L,-3,ENCE,,,,,,
22/04/20,ESL One: Road to Rio - Europe,ENCE,Dust2,'14 - 16,L,-2,fnatic,,,,,,
12/4/2020,ESL Pro League Season 11 Europe,mousesports,Mirage,'16 - 12,W,4,mousesports,,,,,,
12/4/2020,ESL Pro League Season 11 Europe,mousesports,Nuke,'16 - 1,W,15,fnatic,,,,,,
12/4/2020,ESL Pro League Season 11 Europe,mousesports,Vertigo,'11 - 16,L,-5,mousesports,,,,,,
12/4/2020,ESL Pro League Season 11 Europe,mousesports,Dust2,'7 - 16,L,-9,mousesports,,,,,,
12/4/2020,ESL Pro League Season 11 Europe,mousesports,Overpass,'16 - 11,W,5,fnatic,,,,,,
9/4/2020,ESL Pro League Season 11 Europe,Natus Vincere,Nuke,'16 - 9,W,7,Natus Vincere,,,,,,
9/4/2020,ESL Pro League Season 11 Europe,Natus Vincere,Inferno,'16 - 13,W,3,Natus Vincere,,,,,,
8/4/2020,ESL Pro League Season 11 Europe,mousesports,Nuke,'16 - 7,W,9,fnatic,,,,,,
