Date,Event,opponent,Map,Score,Result,Point Difference,Round1 Result,>2.5,<2.5,>-2.5,<-2.5,Total Win/Loss,
3/5/2020,ESL One: Road to Rio - North America,FURIA,Vertigo,'10 - 16,L,-6,MIBR,24,35,41,18,33,W
3/5/2020,ESL One: Road to Rio - North America,FURIA,Inferno,'14 - 16,L,-2,MIBR,W,L,W,L,26,L
1/5/2020,ESL One: Road to Rio - North America,Envy,Inferno,'16 - 5,W,11,Envy,,,,,,
1/5/2020,ESL One: Road to Rio - North America,Envy,Train,'18 - 22,L,-4,Envy,,,,,,
1/5/2020,ESL One: Road to Rio - North America,Envy,Dust2,'16 - 13,W,3,MIBR,,,,,,
29/04/20,ESL One: Road to Rio - North America,Bad News Bears,Dust2,'16 - 7,W,9,MIBR,,,,,,
29/04/20,ESL One: Road to Rio - North America,Bad News Bears,Inferno,'16 - 12,W,4,MIBR,,,,,,
25/04/20,ESL One: Road to Rio - North America,Liquid,Inferno,'13 - 16,L,-3,Liquid,,,,,,
25/04/20,ESL One: Road to Rio - North America,Liquid,Dust2,'12 - 16,L,-4,MIBR,,,,,,
23/04/20,ESL One: Road to Rio - North America,Yeah,Mirage,'22 - 18,W,4,Yeah,,,,,,
23/04/20,ESL One: Road to Rio - North America,Yeah,Dust2,'16 - 5,W,11,Yeah,,,,,,
19/04/20,Flashpoint 1,MAD Lions,Train,'13 - 16,L,-3,MIBR,,,,,,
19/04/20,Flashpoint 1,MAD Lions,Inferno,'13 - 16,L,-3,MAD Lions,,,,,,
19/04/20,Flashpoint 1,MAD Lions,Mirage,'16 - 13,W,3,MAD Lions,,,,,,
14/04/20,Flashpoint 1,MAD Lions,Dust2,'16 - 5,W,11,MAD Lions,,,,,,
14/04/20,Flashpoint 1,MAD Lions,Mirage,'11 - 16,L,-5,MIBR,,,,,,
14/04/20,Flashpoint 1,MAD Lions,Train,'16 - 13,W,3,MAD Lions,,,,,,
12/4/2020,Flashpoint 1,HAVU,Train,'16 - 3,W,13,MIBR,,,,,,
12/4/2020,Flashpoint 1,HAVU,Dust2,'19 - 17,W,2,HAVU,,,,,,
12/4/2020,Flashpoint 1,HAVU,Vertigo,'8 - 16,L,-8,MIBR,,,,,,
10/4/2020,Flashpoint 1,Orgless,Dust2,'16 - 6,W,10,MIBR,,,,,,
10/4/2020,Flashpoint 1,Orgless,Overpass,'17 - 19,L,-2,Orgless,,,,,,
10/4/2020,Flashpoint 1,Orgless,Inferno,'16 - 8,W,8,MIBR,,,,,,
9/4/2020,ESL Pro League Season 11 North America,FURIA,Mirage,'14 - 16,L,-2,MIBR,,,,,,
9/4/2020,ESL Pro League Season 11 North America,FURIA,Vertigo,'4 - 16,L,-12,FURIA,,,,,,
5/4/2020,Flashpoint 1,Gen.G,Mirage,'19 - 15,W,4,MIBR,,,,,,
5/4/2020,Flashpoint 1,Gen.G,Dust2,'16 - 7,W,9,MIBR,,,,,,
3/4/2020,ESL Pro League Season 11 North America,Swole Patrol,Inferno,'16 - 5,W,11,MIBR,,,,,,
3/4/2020,ESL Pro League Season 11 North America,Swole Patrol,Vertigo,'16 - 12,W,4,MIBR,,,,,,
2/4/2020,ESL Pro League Season 11 North America,Evil Geniuses,Inferno,'8 - 16,L,-8,MIBR,,,,,,
2/4/2020,ESL Pro League Season 11 North America,Evil Geniuses,Dust2,'13 - 16,L,-3,MIBR,,,,,,
2/4/2020,ESL Pro League Season 11 North America,Evil Geniuses,Vertigo,'16 - 14,W,2,MIBR,,,,,,
1/4/2020,Flashpoint 1,Gen.G,Train,'16 - 12,W,4,MIBR,,,,,,
1/4/2020,Flashpoint 1,Gen.G,Vertigo,'16 - 13,W,3,Gen.G,,,,,,
1/4/2020,Flashpoint 1,Gen.G,Dust2,'8 - 16,L,-8,MIBR,,,,,,
31/03/20,ESL Pro League Season 11 North America,100 Thieves,Inferno,'16 - 14,W,2,100 Thieves,,,,,,
31/03/20,ESL Pro League Season 11 North America,100 Thieves,Train,'16 - 12,W,4,MIBR,,,,,,
30/03/20,ESL Pro League Season 11 North America,FURIA,Mirage,'8 - 16,L,-8,MIBR,,,,,,
30/03/20,ESL Pro League Season 11 North America,FURIA,Inferno,'16 - 6,W,10,FURIA,,,,,,
30/03/20,ESL Pro League Season 11 North America,FURIA,Train,'4 - 16,L,-12,FURIA,,,,,,
28/03/20,Flashpoint 1,Orgless,Overpass,'16 - 10,W,6,Orgless,,,,,,
28/03/20,Flashpoint 1,Orgless,Inferno,'19 - 17,W,2,Orgless,,,,,,
26/03/20,ESL Pro League Season 11 North America,Liquid,Dust2,'2 - 16,L,-14,Liquid,,,,,,
26/03/20,ESL Pro League Season 11 North America,Liquid,Overpass,'7 - 16,L,-9,MIBR,,,,,,
24/03/20,Flashpoint 1,Chaos,Dust2,'16 - 8,W,8,MIBR,,,,,,
24/03/20,Flashpoint 1,Chaos,Inferno,'12 - 16,L,-4,MIBR,,,,,,
24/03/20,Flashpoint 1,Chaos,Overpass,'16 - 7,W,9,MIBR,,,,,,
23/03/20,Flashpoint 1,Gen.G,Mirage,'16 - 13,W,3,Gen.G,,,,,,
23/03/20,Flashpoint 1,Gen.G,Inferno,'16 - 11,W,5,Gen.G,,,,,,
20/03/20,Flashpoint 1,Envy,Mirage,'16 - 3,W,13,Envy,,,,,,
20/03/20,Flashpoint 1,Envy,Overpass,'16 - 6,W,10,MIBR,,,,,,
14/03/20,Flashpoint 1,Chaos,Nuke,'14 - 16,L,-2,MIBR,,,,,,
14/03/20,Flashpoint 1,Chaos,Train,'6 - 16,L,-10,MIBR,,,,,,
23/02/20,DreamHack Open Anaheim 2020,Complexity,Dust2,'9 - 16,L,-7,Complexity,,,,,,
23/02/20,DreamHack Open Anaheim 2020,Complexity,Nuke,'2 - 16,L,-14,Complexity,,,,,,
22/02/20,DreamHack Open Anaheim 2020,ENCE,Overpass,'16 - 11,W,5,MIBR,,,,,,
22/02/20,DreamHack Open Anaheim 2020,ENCE,Train,'15 - 19,L,-4,ENCE,,,,,,
22/02/20,DreamHack Open Anaheim 2020,ENCE,Nuke,'16 - 8,W,8,MIBR,,,,,,
21/02/20,DreamHack Open Anaheim 2020,Complexity,Dust2,'11 - 16,L,-5,Complexity,,,,,,
